G_CODE,G_FAMILY,G_ISO_CODE_2,G_LATITUDE,G_LONGITUDE,G_NAME
aaa,104955-105023-105143-105301-31476-105699-105895-31592,--,7.11551,5.95663,Ghotuo
aab,104955-105023-105143-105303-105492-105707-105913-31931,--,9.01513,8.55956,Alumu-Tesu
aac,34355-34356-34359,--,-7.95526,142.4,Ari
aad,104998-26662,--,-4.04517,141.995,Amal
aae,104971-36587-36588-36589,--,38.911,16.7164,"Albanian, Arbëreshë"
aaf,104968-105043-105163-105331-105542-105779-105998-106929-106937-106390-33891,--,11.3525,75.7954,Aranadan
aag,104988-105368-24300-24301,--,-3.51156,142.462,Ambrak
aah,104988-107134-105076-105196-105366-104551,--,--,--,"Arapesh, Abu’"
aai,106869-106871-106878-105320-105523-105751-105960-106163-106368-41754-41842-41843-41848,--,-9.15565,149.246,Miniafia Oyan
aak,26562-107621-105017-26573,--,-7.19444,145.754,Ankave
aal,104949-105011-105125-105281-105465-105673-105874-25119,--,12.0551,14.6343,Afade
aam,107384-23493,--,-2.90656,37.3491,Aramanik
aan,105004-105119-105271-105450-105663-24419,--,-2.71119,-49.303,Anambé
aao,104949-105012-105129-105287-105476-105688-105889-24941,--,20.8884,4.80626,"Arabic, Algerian Saharan Spoken"
aap,104960-26765-26767-26770,--,-3.71263,-53.0657,"Arára, Pará"
aaq,104950-105013-105130-23849,--,45.0112,-68.6617,"Abenaki, Eastern"
aar,104949-25700-105128-25728-25794-25797,aa,12.2281,41.8083,Afar
aas,104949-25700-25703-25712-25713,--,-4.00679,36.8648,Aasáx
aat,104971-36587-36588-36599,--,38.283,23.3703,"Albanian, Arvanitika"
aau,104998-26651,--,-3.97222,141.324,Abau
aaw,106869-106871-106878-105320-105523-105751-105960-106162-106367-106538-42231-42233-106788-42246-42249,--,-5.86129,148.825,Solong
aax,104989-43174-107501-43175-43176-43186-105823-43190,--,-5.69357,140.624,Mandobo Atas
aay,107384-104888,--,--,--,Aariya
aaz,106869-106871-106878-105320-105522-105749-40886-106158-106935-40891,--,-10.2175,123.964,Amarasi
aba,104955-105023-105145-105310-29357-29358,--,5.59682,-4.38497,Abé
abb,104955-105023-105143-105302-105490-105704-105905-29770-106253-29793,--,4.3702,9.6403,Bankon
abc,106869-106871-106878-39584-39586-39599,--,14.8156,120.283,"Ayta, Ambala"
abd,106869-106871-106878-105322-105525-105753-39787,--,14.1571,122.835,Manide
abe,104950-105013-105130-23869,--,46.1381,-72.6511,"Abenaki, Western"
abf,106869-106871-106878-107522-105533-106997-105770-40637,--,5.55394,118.306,Abai Sungai
abg,104989-105079-105212-107528-107147-105386-43051,--,-6.12028,145.665,Abaga
abh,104949-105012-105129-105287-105476-105688-105888-25010-25012,--,37.2176,67.3267,"Arabic, Tajiki Spoken"
abi,104955-105023-105145-105310-29357-29364,--,5.65656,-4.58421,Abidji
abj,43540-43555-43557,--,12.3782,92.7818,Aka-Bea
abk,36529-36540-36541,ab,42.2334,41.2963,Abkhaz
abl,106869-106871-106878-39353-39354,--,-4.43957,105.397,Lampung Nyo
abm,104955-105023-105143-105302-105490-105703-29440-106082-106247-106412-29456,--,6.30619,8.63055,Abanyom
abn,104955-105023-105143-32043-32153-32155-32156,--,4.83057,6.61492,Abua
abo,104955-105023-105143-105302-105490-105705-105911-31101,--,6.90621,10.8769,Abon
abp,106869-106871-106878-39584-39586-105742-39594,--,15.4131,120.2,"Ayta, Abellen"
abq,36529-36540-36545,--,41.1214,42.7273,Abaza
abr,104955-105023-105145-105310-105505-105731-105938-106136-29295,--,7.72094,-2.50289,Abron
abs,106869-106871-106878-105324-105529-105763-105979-106189-106385-39447,--,-3.71342,128.184,"Malay, Ambonese"
abt,36434-36435-36448-36449,--,-3.7801,143.059,Ambulas
abu,104955-105023-105145-105310-105505-105731-105940-29323,--,5.21534,-3.64123,Abure
abv,104949-105012-105129-105287-105476-105688-24956-24960,--,24.6197,53.8315,"Arabic, Baharna Spoken"
abw,104989-105080-105214-105392-42970-42972,--,-4.756,145.24,Pal
abx,106869-106871-106878-105321-42579-42581,--,12.4264,124.166,Inabaknon
aby,105009-107137-34135,--,-9.75911,148.479,Aneme Wake
abz,107129-104951-105014-33761,--,-8.31058,124.588,Abui
aca,104952-23732-105136-107636-107641-107644-23749,--,4.38649,-72.2005,Achagua
acb,107392-28386,--,6.66524,11.1087,Áncá
acc,107384-104922,--,--,--,"Achi', Cubulco"
acd,104955-105023-105145-105310-105505-105731-105939-106137-106325-106488-106618-29344,--,8.39478,0.56975,Gikyode
ace,106869-106871-106878-105324-105529-39509-39510,--,3.90757,96.6032,Aceh
acf,104971-105056-105175-105353-107153-105354-105575-105816-106032-106225-106396-106554-106667-106747-106799-106830-106838-38635,--,15.3947,-61.3641,Saint Lucian Creole French
ach,23478-23584-23585-23609-23622,--,3.57738,32.5147,Acholi
aci,43540-43541-43542-43543-43545,--,13.4909,92.9485,Aka-Cari
ack,43540-43541-43542-43546-43548,--,12.0944,92.7466,Aka-Kora
acl,43540-43555-43556,--,12.6663,92.8278,Akar-Bale
acm,104949-105012-105129-105287-105476-105688-105888-25014,--,33.8178,43.1095,"Arabic, Mesopotamian Spoken"
acn,105000-105102-105249-105425-27722-27736-27739,--,24.3479,97.7438,Achang
acp,104955-105023-105143-105306-105499-105725-105932-106132-106321-106484-31669,--,10.7104,6.0105,"Acipa, Eastern"
acq,104949-105012-105129-105287-105476-105688-24956-24975,--,13.6555,45.6411,"Arabic, Ta’izzi-Adeni Spoken"
acr,104983-105185-44746-44754-44758-44759-44760,--,15.073,-90.3513,Achi
acs,104990-25922-25943-25947,--,-12.594,-40.2145,Acroá
act,104971-105053-105172-105343-105554-105786-106005-107016-37048,--,52.021,6.47521,Achterhoeks
acu,34310-34312-34313,--,-2.82646,-77.2641,Achuar-Shiwiar
acv,44311-44312,--,41.0979,-121.191,Achumawi
acw,104949-105012-105129-105287-105476-105688-24956-24978,--,22.8346,38.9237,"Arabic, Hijazi Spoken"
acx,104949-105012-105129-105287-105476-105688-24956-24988,--,23.25,58.5,"Arabic, Omani Spoken"
acy,104949-105012-105129-105287-105476-105688-24989-24990,--,35.1674,33.0943,"Arabic, Cypriot Spoken"
acz,34569-34579-34581,--,10.8827,30.3187,Acheron
ada,104955-105023-105145-29367-29368,--,5.9437,0.13243,Dangme
adb,107384-28428,--,-8.22674,125.576,Adabe
adc,--,--,--,--,Arara do Acre
add,104955-105023-105143-105302-105490-105706-105912-31174-106309-31263-31285,--,6.89005,10.7633,Dzodinka
ade,104955-105023-105145-105309-29264-29273,--,8.16975,0.619185,Adele
adf,104949-105012-105129-105287-105476-105688-24956-24965,--,17.0796,54.4894,"Arabic, Dhofari Spoken"
adg,104993-105084-105220-43982-43993,--,-22.5128,137.352,Andegerebinha
adh,23478-23584-23585-23609-23610-23616-23618,--,0.73235,34.0341,Adhola
adi,105000-105105-105254-28303-28308,--,27.62812,94.3538,Adi
adj,104955-105023-105145-105310-29357-29363,--,5.38228,-4.52522,Adioukrou
adl,105000-105105-105254-107547-105435-107572-28325,--,27.749,96.311,"Adi, Galo"
adn,107129-104951-105014-105131-105290-105483-33765,--,-8.18958,124.448,Adang
ado,104979-105180-28776,--,-4.24027,144.474,Abu
adp,107384-104837,--,27.141,90.3369,Adap
adq,104955-105023-105145-29166-105504-29171,--,6.50546,0.727155,Adangbe
adr,106869-106871-106878-105320-105522-40774-105951-106149-106343-106510-40788,--,-8.32027,123.159,Adonara
ads,107390-107461-33474,--,5.834,-0.151,Adamorobe Sign Language
adt,104993-105084-43859-107148-43870-43873,--,-30.1451,138.671,Adnyamathanha
adu,107384-31510,--,7.64567,6.13085,Aduge
adw,105004-105119-105270-24371,--,-9.04023,-62.3064,Amundava
adx,105000-106872-106883-107149-107160-27132,--,34.5177,100.485,"Tibetan, Amdo"
ady,36529-36530-36533,--,44.0,39.33,Adyghe
adz,106869-106871-106878-105320-105523-105751-105960-106162-42152-42188-42189-42190,--,-6.39394,146.294,Adzera
aea,104993-105089-105227-44233-44235-44236,--,-16.6355,142.631,Areba
aeb,104949-105012-105129-105287-105476-105688-105889-24922,--,33.7966,9.56156,"Arabic, Tunisian Spoken"
aec,104949-105012-105129-105287-105476-105688-24889-106071-24895,--,25.4132,30.5302,"Arabic, Sa’idi Spoken"
aed,107390-107128-33507,--,-34.797,-59.1798,Argentine Sign Language
aee,104971-105055-105173-105347-37990-38013-38014,--,34.66,70.4317,"Pashai, Northeast"
aek,106869-106871-106878-105320-105523-105751-105959-41149-106362-106529-41150,--,-21.0735,164.869,Haeke
ael,104955-105023-105143-105302-105490-105706-31164,--,5.94043,9.62028,Ambele
aem,104956-35485-107494-35511-35519,--,17.7672,105.928,Arem
aen,107390-107128-33489,--,40.1002,44.4767,Armenian Sign Language
aeq,104971-105055-105173-105345-105561-105797-106010-106208-38239,--,25.254,69.029,Aer
aer,104993-105084-105220-43982-43985,--,-23.3583,135.046,"Arrernte, Eastern"
aes,26549,--,44.408,-123.94,Alsea
aeu,105000-105102-105249-106896-105642-107571-106052-106232-106399-27702,--,--,--,Akeu
aew,104979-28773,--,-4.23181,144.285,Ambakich
aey,104989-105080-105214-42868-42869-42875,--,-5.29126,145.687,Amele
aez,104989-42830-105211-42838-42843-42844-42846,--,-8.79019,148.09,Aeka
afb,104949-105012-105129-105287-105476-105688-24956-24966,--,30.17,47.5,"Arabic, Gulf Spoken"
afd,34079-34082,--,-4.96449,143.637,Andai
afe,104955-105023-105143-105302-105490-32004-32012,--,6.65923,8.96041,Utugwang-Irungene-Afrike
afg,107390-107128-104759,--,--,--,Afghan Sign Language
afh,--,--,--,--,--
afi,104979-105064-28763-105358-28766,--,-4.88687,144.821,Chini
afk,34079-34080,--,-4.71731,143.937,Nanubae
afn,44672-44673,--,4.58451,7.50186,Defaka
afo,104955-105023-105143-105303-31388,--,8.24696,7.97061,Eloyi
afp,34079-34081,--,-4.77763,143.337,Tapei
afr,104971-105053-105172-105343-105552-37065-37097-37098,af,-22.0,30.0,Afrikaans
afs,104971-105053-105172-105343-105554-105787-106006-106207-106393-106552-106663-106743-106795-106826-104468,--,31.7843,-99.2934,Afro-Seminole Creole
aft,34340-34342,--,12.446,30.7611,Afitti
afu,104955-105023-105145-105310-105505-105731-105939-29326-29329,--,5.42441,-0.59545,Awutu
afz,43764-43773-43792-43800-43801,--,-2.88029,137.924,Obokuitai
